x,y,dy/dx
2.152,1.348,-1.077
2.154,1.346,-1.078
2.156,1.344,-1.078
2.158,1.342,-1.079
2.160,1.340,-1.079
2.162,1.337,-1.080
2.164,1.335,-1.080
2.166,1.333,-1.081
2.168,1.331,-1.081
2.170,1.329,-1.082
2.172,1.327,-1.082
2.174,1.324,-1.082
2.176,1.322,-1.083
2.178,1.320,-1.083
2.180,1.318,-1.084
2.182,1.316,-1.084
2.184,1.314,-1.084
2.186,1.311,-1.085
2.188,1.309,-1.085
2.190,1.307,-1.085
2.192,1.305,-1.086
2.194,1.303,-1.086
2.196,1.301,-1.086
2.198,1.298,-1.087
2.200,1.296,-1.087
2.202,1.294,-1.087
2.204,1.292,-1.087
2.206,1.290,-1.088
2.208,1.288,-1.088
2.210,1.285,-1.088
2.212,1.283,-1.088
2.214,1.281,-1.089
2.216,1.279,-1.089
2.218,1.277,-1.089
2.220,1.275,-1.089
2.222,1.272,-1.089
2.224,1.270,-1.089
2.226,1.268,-1.090
2.228,1.266,-1.090
2.230,1.264,-1.090
2.232,1.261,-1.090
2.234,1.259,-1.090
2.236,1.257,-1.090
2.238,1.255,-1.090
2.240,1.253,-1.090
2.242,1.251,-1.090
2.244,1.248,-1.090
2.246,1.246,-1.090
2.248,1.244,-1.091
2.250,1.242,-1.091
2.252,1.240,-1.091
2.254,1.237,-1.091
2.256,1.235,-1.091
2.258,1.233,-1.091
2.260,1.231,-1.090
2.262,1.229,-1.090
2.264,1.227,-1.090
2.266,1.224,-1.090
2.268,1.222,-1.090
2.270,1.220,-1.090
2.272,1.218,-1.090
2.274,1.216,-1.090
2.276,1.213,-1.090
2.278,1.211,-1.090
2.280,1.209,-1.090
2.282,1.207,-1.090
2.284,1.205,-1.089
2.286,1.203,-1.089
2.288,1.200,-1.089
2.290,1.198,-1.089
2.292,1.196,-1.089
2.294,1.194,-1.089
2.296,1.192,-1.088
2.298,1.189,-1.088
2.300,1.187,-1.088
2.302,1.185,-1.088
2.304,1.183,-1.087
2.306,1.181,-1.087
2.308,1.179,-1.087
2.310,1.176,-1.087
2.312,1.174,-1.086
2.314,1.172,-1.086
2.316,1.170,-1.086
2.318,1.168,-1.086
2.320,1.166,-1.085
2.322,1.163,-1.085
2.324,1.161,-1.085
2.326,1.159,-1.084
2.328,1.157,-1.084
2.330,1.155,-1.084
2.332,1.153,-1.083
2.334,1.150,-1.083
2.336,1.148,-1.082
2.338,1.146,-1.082
2.340,1.144,-1.082
2.342,1.142,-1.081
2.344,1.140,-1.081
2.346,1.137,-1.080
2.348,1.135,-1.080
2.350,1.133,-1.080
2.352,1.131,-1.079
2.354,1.129,-1.079
2.356,1.127,-1.078
2.358,1.124,-1.078
2.360,1.122,-1.077
2.362,1.120,-1.077
2.364,1.118,-1.076
2.366,1.116,-1.076
2.368,1.114,-1.075
2.370,1.112,-1.075
2.372,1.109,-1.074
2.374,1.107,-1.074
2.376,1.105,-1.073
2.378,1.103,-1.072
2.380,1.101,-1.072
2.382,1.099,-1.071
2.384,1.097,-1.071
2.386,1.094,-1.070
2.388,1.092,-1.070
2.390,1.090,-1.069
2.392,1.088,-1.068
2.394,1.086,-1.068
2.396,1.084,-1.067
2.398,1.082,-1.066
2.400,1.079,-1.066
2.402,1.077,-1.065
2.404,1.075,-1.065
2.406,1.073,-1.064
2.408,1.071,-1.063
2.410,1.069,-1.062
2.412,1.067,-1.062
2.414,1.065,-1.061
2.416,1.062,-1.060
2.418,1.060,-1.060
2.420,1.058,-1.059
2.422,1.056,-1.058
2.424,1.054,-1.058
2.426,1.052,-1.057
2.428,1.050,-1.056
2.430,1.048,-1.055
2.432,1.045,-1.055
2.434,1.043,-1.054
2.436,1.041,-1.053
2.438,1.039,-1.052
2.440,1.037,-1.051
2.442,1.035,-1.051
2.444,1.033,-1.050
2.446,1.031,-1.049
2.448,1.029,-1.048
2.450,1.027,-1.047
2.452,1.024,-1.047
2.454,1.022,-1.046
2.456,1.020,-1.045
2.458,1.018,-1.044
2.460,1.016,-1.043
2.462,1.014,-1.042
2.464,1.012,-1.041
2.466,1.010,-1.040
2.468,1.008,-1.040
2.470,1.006,-1.039
2.472,1.004,-1.038
2.474,1.002,-1.037
2.476,0.999,-1.036
2.478,0.997,-1.035
2.480,0.995,-1.034
2.482,0.993,-1.033
2.484,0.991,-1.032
2.486,0.989,-1.031
2.488,0.987,-1.030
2.490,0.985,-1.029
2.492,0.983,-1.028
2.494,0.981,-1.028
2.496,0.979,-1.027
2.498,0.977,-1.026
2.500,0.975,-1.025
2.502,0.973,-1.024
2.504,0.971,-1.023
2.506,0.969,-1.022
2.508,0.967,-1.021
2.510,0.965,-1.020
2.512,0.962,-1.019
2.514,0.960,-1.018
2.516,0.958,-1.016
2.518,0.956,-1.015
2.520,0.954,-1.014
2.522,0.952,-1.013
2.524,0.950,-1.012
2.526,0.948,-1.011
2.528,0.946,-1.010
2.530,0.944,-1.009
2.532,0.942,-1.008
2.534,0.940,-1.007
2.536,0.938,-1.006
2.538,0.936,-1.005
2.540,0.934,-1.004
2.542,0.932,-1.003
2.544,0.930,-1.001
2.546,0.928,-1.000
2.548,0.926,-0.999
2.550,0.924,-0.998
2.552,0.922,-0.997
2.554,0.920,-0.996
2.556,0.918,-0.995
2.558,0.916,-0.994
2.560,0.914,-0.992
2.562,0.912,-0.991
2.564,0.910,-0.990
2.566,0.908,-0.989
2.568,0.906,-0.988
2.570,0.904,-0.987
2.572,0.902,-0.985
2.574,0.900,-0.984
2.576,0.898,-0.983
2.578,0.896,-0.982
2.580,0.894,-0.981
2.582,0.892,-0.979
2.584,0.891,-0.978
2.586,0.889,-0.977
2.588,0.887,-0.976
2.590,0.885,-0.975
2.592,0.883,-0.973
2.594,0.881,-0.972
2.596,0.879,-0.971
2.598,0.877,-0.970
2.600,0.875,-0.968
2.602,0.873,-0.967
2.604,0.871,-0.966
2.606,0.869,-0.965
2.608,0.867,-0.963
2.610,0.865,-0.962
2.612,0.863,-0.961
2.614,0.861,-0.960
2.616,0.859,-0.958
2.618,0.858,-0.957
2.620,0.856,-0.956
2.622,0.854,-0.955
2.624,0.852,-0.953
2.626,0.850,-0.952
2.628,0.848,-0.951
2.630,0.846,-0.949
2.632,0.844,-0.948
2.634,0.842,-0.947
2.636,0.840,-0.945
2.638,0.839,-0.944
2.640,0.837,-0.943
2.642,0.835,-0.941
2.644,0.833,-0.940
2.646,0.831,-0.939
2.648,0.829,-0.937
2.650,0.827,-0.936
2.652,0.825,-0.935
2.654,0.824,-0.933
2.656,0.822,-0.932
2.658,0.820,-0.931
2.660,0.818,-0.929
2.662,0.816,-0.928
2.664,0.814,-0.927
2.666,0.812,-0.925
2.668,0.811,-0.924
2.670,0.809,-0.923
2.672,0.807,-0.921
2.674,0.805,-0.920
2.676,0.803,-0.918
2.678,0.801,-0.917
2.680,0.799,-0.916
2.682,0.798,-0.914
2.684,0.796,-0.913
2.686,0.794,-0.911
2.688,0.792,-0.910
2.690,0.790,-0.909
2.692,0.789,-0.907
2.694,0.787,-0.906
2.696,0.785,-0.904
2.698,0.783,-0.903
2.700,0.781,-0.902
2.702,0.779,-0.900
2.704,0.778,-0.899
2.706,0.776,-0.897
2.708,0.774,-0.896
2.710,0.772,-0.895
2.712,0.770,-0.893
2.714,0.769,-0.892
2.716,0.767,-0.890
2.718,0.765,-0.889
2.720,0.763,-0.887
2.722,0.762,-0.886
2.724,0.760,-0.884
2.726,0.758,-0.883
2.728,0.756,-0.882
2.730,0.755,-0.880
2.732,0.753,-0.879
2.734,0.751,-0.877
2.736,0.749,-0.876
2.738,0.748,-0.874
2.740,0.746,-0.873
2.742,0.744,-0.871
2.744,0.742,-0.870
2.746,0.741,-0.868
2.748,0.739,-0.867
2.750,0.737,-0.866
2.752,0.735,-0.864
2.754,0.734,-0.863
2.756,0.732,-0.861
2.758,0.730,-0.860
2.760,0.728,-0.858
2.762,0.727,-0.857
2.764,0.725,-0.855
2.766,0.723,-0.854
2.768,0.722,-0.852
2.770,0.720,-0.851
2.772,0.718,-0.849
2.774,0.716,-0.848
2.776,0.715,-0.846
2.778,0.713,-0.845
2.780,0.711,-0.843
2.782,0.710,-0.842
2.784,0.708,-0.840
2.786,0.706,-0.839
2.788,0.705,-0.837
2.790,0.703,-0.836
2.792,0.701,-0.834
2.794,0.700,-0.833
2.796,0.698,-0.831
2.798,0.696,-0.830
2.800,0.695,-0.828
2.802,0.693,-0.827
2.804,0.691,-0.825
2.806,0.690,-0.824
2.808,0.688,-0.822
2.810,0.686,-0.821
2.812,0.685,-0.819
2.814,0.683,-0.818
2.816,0.682,-0.816
2.818,0.680,-0.815
2.820,0.678,-0.813
2.822,0.677,-0.812
2.824,0.675,-0.810
2.826,0.673,-0.808
2.828,0.672,-0.807
2.830,0.670,-0.805
2.832,0.669,-0.804
2.834,0.667,-0.802
2.836,0.665,-0.801
2.838,0.664,-0.799
2.840,0.662,-0.798
2.842,0.661,-0.796
2.844,0.659,-0.795
2.846,0.657,-0.793
2.848,0.656,-0.792
2.850,0.654,-0.790
2.852,0.653,-0.789
2.854,0.651,-0.787
2.856,0.649,-0.785
2.858,0.648,-0.784
2.860,0.646,-0.782
2.862,0.645,-0.781
2.864,0.643,-0.779
2.866,0.642,-0.778
2.868,0.640,-0.776
2.870,0.639,-0.775
2.872,0.637,-0.773
2.874,0.635,-0.772
2.876,0.634,-0.770
2.878,0.632,-0.769
2.880,0.631,-0.767
2.882,0.629,-0.765
2.884,0.628,-0.764
2.886,0.626,-0.762
2.888,0.625,-0.761
2.890,0.623,-0.759
2.892,0.622,-0.758
2.894,0.620,-0.756
2.896,0.619,-0.755
2.898,0.617,-0.753
2.900,0.616,-0.752
2.902,0.614,-0.750
2.904,0.613,-0.749
2.906,0.611,-0.747
2.908,0.610,-0.745
2.910,0.608,-0.744
2.912,0.607,-0.742
2.914,0.605,-0.741
2.916,0.604,-0.739
2.918,0.602,-0.738
2.920,0.601,-0.736
2.922,0.599,-0.735
2.924,0.598,-0.733
2.926,0.596,-0.732
2.928,0.595,-0.730
2.930,0.593,-0.728
2.932,0.592,-0.727
2.934,0.590,-0.725
2.936,0.589,-0.724
2.938,0.588,-0.722
2.940,0.586,-0.721
2.942,0.585,-0.719
2.944,0.583,-0.718
2.946,0.582,-0.716
2.948,0.580,-0.715
2.950,0.579,-0.713
2.952,0.578,-0.712
2.954,0.576,-0.710
2.956,0.575,-0.708
2.958,0.573,-0.707
2.960,0.572,-0.705
2.962,0.570,-0.704
2.964,0.569,-0.702
2.966,0.568,-0.701
2.968,0.566,-0.699
2.970,0.565,-0.698
2.972,0.563,-0.696
2.974,0.562,-0.695
2.976,0.561,-0.693
2.978,0.559,-0.692
2.980,0.558,-0.690
2.982,0.556,-0.689
2.984,0.555,-0.687
2.986,0.554,-0.685
2.988,0.552,-0.684
2.990,0.551,-0.682
2.992,0.550,-0.681
2.994,0.548,-0.679
2.996,0.547,-0.678
2.998,0.546,-0.676
3.000,0.544,-0.675
3.002,0.543,-0.673
3.004,0.542,-0.672
3.006,0.540,-0.670
3.008,0.539,-0.669
3.010,0.537,-0.667
3.012,0.536,-0.666
3.014,0.535,-0.664
3.016,0.533,-0.663
3.018,0.532,-0.661
3.020,0.531,-0.660
3.022,0.530,-0.658
3.024,0.528,-0.657
3.026,0.527,-0.655
3.028,0.526,-0.654
3.030,0.524,-0.652
3.032,0.523,-0.651
3.034,0.522,-0.649
3.036,0.520,-0.648
3.038,0.519,-0.646
3.040,0.518,-0.645
3.042,0.516,-0.643
3.044,0.515,-0.642
3.046,0.514,-0.640
3.048,0.513,-0.639
3.050,0.511,-0.637
3.052,0.510,-0.636
3.054,0.509,-0.634
3.056,0.508,-0.633
3.058,0.506,-0.631
3.060,0.505,-0.630
3.062,0.504,-0.628
3.064,0.503,-0.627
3.066,0.501,-0.625
3.068,0.500,-0.624
3.070,0.499,-0.622
3.072,0.498,-0.621
3.074,0.496,-0.619
3.076,0.495,-0.618
3.078,0.494,-0.616
3.080,0.493,-0.615
3.082,0.491,-0.613
3.084,0.490,-0.612
3.086,0.489,-0.610
3.088,0.488,-0.609
3.090,0.486,-0.607
3.092,0.485,-0.606
3.094,0.484,-0.604
3.096,0.483,-0.603
3.098,0.482,-0.602
3.100,0.480,-0.600
3.102,0.479,-0.599
3.104,0.478,-0.597
3.106,0.477,-0.596
3.108,0.476,-0.594
3.110,0.474,-0.593
3.112,0.473,-0.591
3.114,0.472,-0.590
3.116,0.471,-0.588
3.118,0.470,-0.587
3.120,0.469,-0.586
3.122,0.467,-0.584
3.124,0.466,-0.583
3.126,0.465,-0.581
3.128,0.464,-0.580
3.130,0.463,-0.578
3.132,0.462,-0.577
3.134,0.460,-0.575
3.136,0.459,-0.574
3.138,0.458,-0.573
3.140,0.457,-0.571
3.142,0.456,-0.570
3.144,0.455,-0.568
3.146,0.454,-0.567
3.148,0.452,-0.565
3.150,0.451,-0.564
3.152,0.450,-0.563
3.154,0.449,-0.561
3.156,0.448,-0.560
3.158,0.447,-0.558
3.160,0.446,-0.557
3.162,0.445,-0.556
3.164,0.443,-0.554
3.166,0.442,-0.553
3.168,0.441,-0.551
3.170,0.440,-0.550
3.172,0.439,-0.549
3.174,0.438,-0.547
3.176,0.437,-0.546
3.178,0.436,-0.544
3.180,0.435,-0.543
3.182,0.434,-0.542
3.184,0.432,-0.540
3.186,0.431,-0.539
3.188,0.430,-0.537
3.190,0.429,-0.536
3.192,0.428,-0.535
3.194,0.427,-0.533
3.196,0.426,-0.532
3.198,0.425,-0.531
3.200,0.424,-0.529
3.202,0.423,-0.528
3.204,0.422,-0.526
3.206,0.421,-0.525
3.208,0.420,-0.524
3.210,0.419,-0.522
3.212,0.418,-0.521
3.214,0.417,-0.520
3.216,0.416,-0.518
3.218,0.414,-0.517
3.220,0.413,-0.516
3.222,0.412,-0.514
3.224,0.411,-0.513
3.226,0.410,-0.511
3.228,0.409,-0.510
3.230,0.408,-0.509
3.232,0.407,-0.507
3.234,0.406,-0.506
3.236,0.405,-0.505
3.238,0.404,-0.503
3.240,0.403,-0.502
3.242,0.402,-0.501
3.244,0.401,-0.499
3.246,0.400,-0.498
3.248,0.399,-0.497
3.250,0.398,-0.495
3.252,0.397,-0.494
3.254,0.396,-0.493
3.256,0.395,-0.492
3.258,0.394,-0.490
3.260,0.393,-0.489
3.262,0.392,-0.488
3.264,0.391,-0.486
3.266,0.390,-0.485
3.268,0.389,-0.484
3.270,0.388,-0.482
3.272,0.388,-0.481
3.274,0.387,-0.480
3.276,0.386,-0.479
3.278,0.385,-0.477
3.280,0.384,-0.476
3.282,0.383,-0.475
3.284,0.382,-0.473
3.286,0.381,-0.472
3.288,0.380,-0.471
3.290,0.379,-0.470
3.292,0.378,-0.468
3.294,0.377,-0.467
3.296,0.376,-0.466
3.298,0.375,-0.464
3.300,0.374,-0.463
3.302,0.373,-0.462
3.304,0.372,-0.461
3.306,0.372,-0.459
3.308,0.371,-0.458
3.310,0.370,-0.457
3.312,0.369,-0.456
3.314,0.368,-0.454
3.316,0.367,-0.453
3.318,0.366,-0.452
3.320,0.365,-0.451
3.322,0.364,-0.449
3.324,0.363,-0.448
3.326,0.362,-0.447
3.328,0.362,-0.446
3.330,0.361,-0.444
3.332,0.360,-0.443
3.334,0.359,-0.442
3.336,0.358,-0.441
3.338,0.357,-0.440
3.340,0.356,-0.438
3.342,0.355,-0.437
3.344,0.354,-0.436
3.346,0.354,-0.435
3.348,0.353,-0.433
3.350,0.352,-0.432
3.352,0.351,-0.431
3.354,0.350,-0.430
3.356,0.349,-0.429
3.358,0.348,-0.427
3.360,0.348,-0.426
3.362,0.347,-0.425
3.364,0.346,-0.424
3.366,0.345,-0.423
3.368,0.344,-0.421
3.370,0.343,-0.420
3.372,0.342,-0.419
3.374,0.342,-0.418
3.376,0.341,-0.417
3.378,0.340,-0.416
3.380,0.339,-0.414
3.382,0.338,-0.413
3.384,0.337,-0.412
3.386,0.337,-0.411
3.388,0.336,-0.410
3.390,0.335,-0.409
3.392,0.334,-0.407
3.394,0.333,-0.406
3.396,0.333,-0.405
3.398,0.332,-0.404
3.400,0.331,-0.403
3.402,0.330,-0.402
3.404,0.329,-0.400
3.406,0.329,-0.399
3.408,0.328,-0.398
3.410,0.327,-0.397
3.412,0.326,-0.396
3.414,0.325,-0.395
3.416,0.325,-0.394
3.418,0.324,-0.392
3.420,0.323,-0.391
3.422,0.322,-0.390
3.424,0.321,-0.389
3.426,0.321,-0.388
3.428,0.320,-0.387
3.430,0.319,-0.386
3.432,0.318,-0.385
3.434,0.318,-0.383
3.436,0.317,-0.382
3.438,0.316,-0.381
3.440,0.315,-0.380
3.442,0.315,-0.379
3.444,0.314,-0.378
3.446,0.313,-0.377
3.448,0.312,-0.376
3.450,0.312,-0.375
3.452,0.311,-0.374
3.454,0.310,-0.373
3.456,0.309,-0.371
3.458,0.309,-0.370
3.460,0.308,-0.369
3.462,0.307,-0.368
3.464,0.306,-0.367
3.466,0.306,-0.366
3.468,0.305,-0.365
3.470,0.304,-0.364
3.472,0.303,-0.363
3.474,0.303,-0.362
3.476,0.302,-0.361
3.478,0.301,-0.360
3.480,0.300,-0.359
3.482,0.300,-0.358
3.484,0.299,-0.356
3.486,0.298,-0.355
3.488,0.298,-0.354
3.490,0.297,-0.353
3.492,0.296,-0.352
3.494,0.296,-0.351
3.496,0.295,-0.350
3.498,0.294,-0.349
3.500,0.293,-0.348
3.502,0.293,-0.347
3.504,0.292,-0.346
3.506,0.291,-0.345
3.508,0.291,-0.344
3.510,0.290,-0.343
3.512,0.289,-0.342
3.514,0.289,-0.341
3.516,0.288,-0.340
3.518,0.287,-0.339
3.520,0.287,-0.338
3.522,0.286,-0.337
3.524,0.285,-0.336
3.526,0.285,-0.335
3.528,0.284,-0.334
3.530,0.283,-0.333
3.532,0.283,-0.332
3.534,0.282,-0.331
3.536,0.281,-0.330
3.538,0.281,-0.329
3.540,0.280,-0.328
3.542,0.279,-0.327
3.544,0.279,-0.326
3.546,0.278,-0.325
3.548,0.277,-0.324
3.550,0.277,-0.323
3.552,0.276,-0.322
3.554,0.275,-0.321
3.556,0.275,-0.320
3.558,0.274,-0.319
3.560,0.273,-0.318
3.562,0.273,-0.317
3.564,0.272,-0.316
3.566,0.272,-0.315
3.568,0.271,-0.314
3.570,0.270,-0.313
3.572,0.270,-0.312
3.574,0.269,-0.311
3.576,0.268,-0.311
3.578,0.268,-0.310
3.580,0.267,-0.309
3.582,0.267,-0.308
3.584,0.266,-0.307
3.586,0.265,-0.306
3.588,0.265,-0.305
3.590,0.264,-0.304
3.592,0.263,-0.303
3.594,0.263,-0.302
3.596,0.262,-0.301
3.598,0.262,-0.300
3.600,0.261,-0.299
3.602,0.260,-0.298
3.604,0.260,-0.298
3.606,0.259,-0.297
3.608,0.259,-0.296
3.610,0.258,-0.295
3.612,0.257,-0.294
3.614,0.257,-0.293
3.616,0.256,-0.292
3.618,0.256,-0.291
3.620,0.255,-0.290
3.622,0.255,-0.289
3.624,0.254,-0.288
3.626,0.253,-0.288
3.628,0.253,-0.287
3.630,0.252,-0.286
3.632,0.252,-0.285
3.634,0.251,-0.284
3.636,0.251,-0.283
3.638,0.250,-0.282
3.640,0.249,-0.281
3.642,0.249,-0.281
3.644,0.248,-0.280
3.646,0.248,-0.279
3.648,0.247,-0.278
3.650,0.247,-0.277
3.652,0.246,-0.276
3.654,0.246,-0.275
3.656,0.245,-0.274
3.658,0.244,-0.274
3.660,0.244,-0.273
3.662,0.243,-0.272
3.664,0.243,-0.271
3.666,0.242,-0.270
3.668,0.242,-0.269
3.670,0.241,-0.269
3.672,0.241,-0.268
3.674,0.240,-0.267
3.676,0.240,-0.266
3.678,0.239,-0.265
3.680,0.238,-0.264
3.682,0.238,-0.264
3.684,0.237,-0.263
3.686,0.237,-0.262
3.688,0.236,-0.261
3.690,0.236,-0.260
3.692,0.235,-0.259
3.694,0.235,-0.259
3.696,0.234,-0.258
3.698,0.234,-0.257
3.700,0.233,-0.256
3.702,0.233,-0.255
3.704,0.232,-0.255
3.706,0.232,-0.254
3.708,0.231,-0.253
3.710,0.231,-0.252
3.712,0.230,-0.251
3.714,0.230,-0.251
3.716,0.229,-0.250
3.718,0.229,-0.249
3.720,0.228,-0.248
3.722,0.228,-0.247
3.724,0.227,-0.247
3.726,0.227,-0.246
3.728,0.226,-0.245
3.730,0.226,-0.244
3.732,0.225,-0.243
3.734,0.225,-0.243
3.736,0.224,-0.242
3.738,0.224,-0.241
3.740,0.223,-0.240
3.742,0.223,-0.240
3.744,0.222,-0.239
3.746,0.222,-0.238
3.748,0.221,-0.237
3.750,0.221,-0.237
3.752,0.220,-0.236
3.754,0.220,-0.235
3.756,0.220,-0.234
3.758,0.219,-0.234
3.760,0.219,-0.233
3.762,0.218,-0.232
3.764,0.218,-0.231
3.766,0.217,-0.231
3.768,0.217,-0.230
3.770,0.216,-0.229
3.772,0.216,-0.228
3.774,0.215,-0.228
3.776,0.215,-0.227
3.778,0.214,-0.226
3.780,0.214,-0.225
3.782,0.214,-0.225
3.784,0.213,-0.224
3.786,0.213,-0.223
3.788,0.212,-0.222
3.790,0.212,-0.222
3.792,0.211,-0.221
3.794,0.211,-0.220
3.796,0.210,-0.220
3.798,0.210,-0.219
3.800,0.210,-0.218
3.802,0.209,-0.217
3.804,0.209,-0.217
3.806,0.208,-0.216
3.808,0.208,-0.215
3.810,0.207,-0.215
3.812,0.207,-0.214
3.814,0.207,-0.213
3.816,0.206,-0.213
3.818,0.206,-0.212
3.820,0.205,-0.211
3.822,0.205,-0.210
3.824,0.204,-0.210
3.826,0.204,-0.209
3.828,0.204,-0.208
3.830,0.203,-0.208
3.832,0.203,-0.207
3.834,0.202,-0.206
3.836,0.202,-0.206
3.838,0.202,-0.205
3.840,0.201,-0.204
3.842,0.201,-0.204
3.844,0.200,-0.203
3.846,0.200,-0.202
3.848,0.199,-0.202
3.850,0.199,-0.201
3.852,0.199,-0.200
3.854,0.198,-0.200
3.856,0.198,-0.199
3.858,0.197,-0.198
3.860,0.197,-0.198
3.862,0.197,-0.197
3.864,0.196,-0.196
3.866,0.196,-0.196
3.868,0.195,-0.195
3.870,0.195,-0.194
3.872,0.195,-0.194
3.874,0.194,-0.193
3.876,0.194,-0.192
3.878,0.194,-0.192
3.880,0.193,-0.191
3.882,0.193,-0.191
3.884,0.192,-0.190
3.886,0.192,-0.189
3.888,0.192,-0.189
3.890,0.191,-0.188
3.892,0.191,-0.187
3.894,0.191,-0.187
3.896,0.190,-0.186
3.898,0.190,-0.185
3.900,0.189,-0.185
3.902,0.189,-0.184
3.904,0.189,-0.184
3.906,0.188,-0.183
3.908,0.188,-0.182
3.910,0.188,-0.182
3.912,0.187,-0.181
3.914,0.187,-0.181
3.916,0.186,-0.180
3.918,0.186,-0.179
3.920,0.186,-0.179
3.922,0.185,-0.178
3.924,0.185,-0.178
3.926,0.185,-0.177
3.928,0.184,-0.176
3.930,0.184,-0.176
3.932,0.184,-0.175
3.934,0.183,-0.175
3.936,0.183,-0.174
3.938,0.183,-0.173
3.940,0.182,-0.173
3.942,0.182,-0.172
3.944,0.182,-0.172
3.946,0.181,-0.171
3.948,0.181,-0.170
3.950,0.181,-0.170
3.952,0.180,-0.169
3.954,0.180,-0.169
3.956,0.180,-0.168
3.958,0.179,-0.168
3.960,0.179,-0.167
3.962,0.179,-0.166
3.964,0.178,-0.166
3.966,0.178,-0.165
3.968,0.178,-0.165
3.970,0.177,-0.164
3.972,0.177,-0.164
3.974,0.177,-0.163
3.976,0.176,-0.162
3.978,0.176,-0.162
3.980,0.176,-0.161
3.982,0.175,-0.161
3.984,0.175,-0.160
3.986,0.175,-0.160
3.988,0.174,-0.159
3.990,0.174,-0.159
3.992,0.174,-0.158
3.994,0.173,-0.157
3.996,0.173,-0.157
3.998,0.173,-0.156
4.000,0.172,-0.156
4.002,0.172,-0.155
4.004,0.172,-0.155
4.006,0.171,-0.154
4.008,0.171,-0.154
4.010,0.171,-0.153
4.012,0.171,-0.153
4.014,0.170,-0.152
4.016,0.170,-0.151
4.018,0.170,-0.151
4.020,0.169,-0.150
4.022,0.169,-0.150
4.024,0.169,-0.149
4.026,0.168,-0.149
4.028,0.168,-0.148
4.030,0.168,-0.148
4.032,0.168,-0.147
4.034,0.167,-0.147
4.036,0.167,-0.146
4.038,0.167,-0.146
4.040,0.166,-0.145
4.042,0.166,-0.145
4.044,0.166,-0.144
4.046,0.165,-0.144
4.048,0.165,-0.143
4.050,0.165,-0.143
4.052,0.165,-0.142
4.054,0.164,-0.142
4.056,0.164,-0.141
4.058,0.164,-0.141
4.060,0.163,-0.140
4.062,0.163,-0.140
4.064,0.163,-0.139
4.066,0.163,-0.139
4.068,0.162,-0.138
4.070,0.162,-0.138
4.072,0.162,-0.137
4.074,0.162,-0.137
4.076,0.161,-0.136
4.078,0.161,-0.136
4.080,0.161,-0.135
4.082,0.160,-0.135
4.084,0.160,-0.134
4.086,0.160,-0.134
4.088,0.160,-0.133
4.090,0.159,-0.133
4.092,0.159,-0.132
4.094,0.159,-0.132
4.096,0.159,-0.131
4.098,0.158,-0.131
4.100,0.158,-0.130
4.102,0.158,-0.130
4.104,0.158,-0.129
4.106,0.157,-0.129
4.108,0.157,-0.129
4.110,0.157,-0.128
4.112,0.157,-0.128
4.114,0.156,-0.127
4.116,0.156,-0.127
4.118,0.156,-0.126
4.120,0.156,-0.126
4.122,0.155,-0.125
4.124,0.155,-0.125
4.126,0.155,-0.124
4.128,0.155,-0.124
4.130,0.154,-0.123
4.132,0.154,-0.123
4.134,0.154,-0.123
4.136,0.154,-0.122
4.138,0.153,-0.122
4.140,0.153,-0.121
4.142,0.153,-0.121
4.144,0.153,-0.120
4.146,0.152,-0.120
4.148,0.152,-0.119
4.150,0.152,-0.119
4.152,0.152,-0.118
4.154,0.151,-0.118
4.156,0.151,-0.118
4.158,0.151,-0.117
4.160,0.151,-0.117
4.162,0.150,-0.116
4.164,0.150,-0.116
4.166,0.150,-0.115
4.168,0.150,-0.115
4.170,0.149,-0.115
4.172,0.149,-0.114
4.174,0.149,-0.114
4.176,0.149,-0.113
4.178,0.149,-0.113
4.180,0.148,-0.112
4.182,0.148,-0.112
4.184,0.148,-0.112
4.186,0.148,-0.111
4.188,0.147,-0.111
4.190,0.147,-0.110
4.192,0.147,-0.110
4.194,0.147,-0.109
4.196,0.147,-0.109
4.198,0.146,-0.109
4.200,0.146,-0.108
4.202,0.146,-0.108
4.204,0.146,-0.107
4.206,0.146,-0.107
4.208,0.145,-0.107
4.210,0.145,-0.106
4.212,0.145,-0.106
4.214,0.145,-0.105
4.216,0.144,-0.105
4.218,0.144,-0.104
4.220,0.144,-0.104
4.222,0.144,-0.104
4.224,0.144,-0.103
4.226,0.143,-0.103
4.228,0.143,-0.102
4.230,0.143,-0.102
4.232,0.143,-0.102
4.234,0.143,-0.101
4.236,0.142,-0.101
4.238,0.142,-0.100
4.240,0.142,-0.100
4.242,0.142,-0.100
4.244,0.142,-0.099
4.246,0.141,-0.099
4.248,0.141,-0.099
4.250,0.141,-0.098
4.252,0.141,-0.098
4.254,0.141,-0.097
4.256,0.140,-0.097
4.258,0.140,-0.097
4.260,0.140,-0.096
4.262,0.140,-0.096
4.264,0.140,-0.095
4.266,0.139,-0.095
4.268,0.139,-0.095
4.270,0.139,-0.094
4.272,0.139,-0.094
4.274,0.139,-0.094
4.276,0.138,-0.093
4.278,0.138,-0.093
4.280,0.138,-0.092
4.282,0.138,-0.092
4.284,0.138,-0.092
4.286,0.138,-0.091
4.288,0.137,-0.091
4.290,0.137,-0.091
4.292,0.137,-0.090
4.294,0.137,-0.090
4.296,0.137,-0.089
4.298,0.136,-0.089
4.300,0.136,-0.089
4.302,0.136,-0.088
